number,symbol,name,unicode,phoneme
01,𐇐,PEDESTRIAN,0x101d0,SARU
02,𐇑,PLUMED HEAD,0x101d1,á
03,𐇒,TATTOOED HEAD,0x101d2,har
04,𐇓,CAPTIVE,0x101d3,hi
05,𐇔,CHILD,0x101d4,ti
06,𐇕,WOMAN,0x101d5,mi
07,𐇖,HELMET,0x101d6,sa2
08,𐇗,GAUNTLET,0x101d7,kà
09,𐇘,TIARA,0x101d8,har
10,𐇙,ARROW,0x101d9,sa3
11,𐇚,BOW,0x101da,_sol suus_
12,𐇛,SHIELD,0x101db,tu
13,𐇜,CLUB,0x101dc,mi1
14,𐇝,MANACLES,0x101dd,tu5
15,𐇞,MATTOCK,0x101de,_custos_
16,𐇟,SAW,0x101df,li
17,𐇠,LID,0x101e0,_anulus_
18,𐇡,BOOMERANG,0x101e1,s6
19,𐇢,CARPENTRY PLANE,0x101e2,sa1
20,𐇣,DOLIUM,0x101e3,ya1
21,𐇤,COMB,0x101e4,_jugum_
22,𐇥,SLING,0x101e5,i
23,𐇦,COLUMN,0x101e6,ti1
24,𐇧,BEEHIVE,0x101e7,pa
25,𐇨,SHIP,0x101e8,na
26,𐇩,HORN,0x101e9,sú
27,𐇪,HIDE,0x101ea,ku
28,𐇫,BULLS LEG,0x101eb,lí
29,𐇬,CAT,0x101ec,u
30,𐇭,RAM,0x101ed,ma
31,𐇮,EAGLE,0x101ee,ra
32,𐇯,DOVE,0x101ef,zi
33,𐇰,TUNNY,0x101f0,wa8
34,𐇱,BEE,0x101f1,ri
35,𐇲,PLANE TREE,0x101f2,ta
36,𐇳,VINE,0x101f3,wi
37,𐇴,PAPYRUS,0x101f4,du
38,𐇵,ROSETTE,0x101f5,wa1
39,𐇶,LILY,0x101f6,ha
40,𐇷,OX BACK,0x101f7,ya
41,𐇸,FLUTE,0x101f8,ti3
42,𐇹,GRATER,0x101f9,ma1
43,𐇺,STRAINER,0x101fa,asu
44,𐇻,SMALL AXE,0x101fb,tí
45,𐇼,WAVY BAND,0x101fc,ná
46,𐇽,COMBINING STROKE,0x101fd,ti
??,?,UNKNOWN,0x3f,?
