No.,Symbol,Name,unicode
01,𐇐,PEDESTRIAN,0x101d0
02,𐇑,PLUMED HEAD,0x101d1
03,𐇒,TATTOOED HEAD,0x101d2
04,𐇓,CAPTIVE,0x101d3
05,𐇔,CHILD,0x101d4
06,𐇕,WOMAN,0x101d5
07,𐇖,HELMET,0x101d6
08,𐇗,GAUNTLET,0x101d7
09,𐇘,TIARA,0x101d8
10,𐇙,ARROW,0x101d9
11,𐇚,BOW,0x101da
12,𐇛,SHIELD,0x101db
13,𐇜,CLUB,0x101dc
14,𐇝,MANACLES,0x101dd
15,𐇞,MATTOCK,0x101de
16,𐇟,SAW,0x101df
17,𐇠,LID,0x101e0
18,𐇡,BOOMERANG,0x101e1
19,𐇢,CARPENTRY PLANE,0x101e2
20,𐇣,DOLIUM,0x101e3
21,𐇤,COMB,0x101e4
22,𐇥,SLING,0x101e5
23,𐇦,COLUMN,0x101e6
24,𐇧,BEEHIVE,0x101e7
25,𐇨,SHIP,0x101e8
26,𐇩,HORN,0x101e9
27,𐇪,HIDE,0x101ea
28,𐇫,BULLS LEG,0x101eb
29,𐇬,CAT,0x101ec
30,𐇭,RAM,0x101ed
31,𐇮,EAGLE,0x101ee
32,𐇯,DOVE,0x101ef
33,𐇰,TUNNY,0x101f0
34,𐇱,BEE,0x101f1
35,𐇲,PLANE TREE,0x101f2
36,𐇳,VINE,0x101f3
37,𐇴,PAPYRUS,0x101f4
38,𐇵,ROSETTE,0x101f5
39,𐇶,LILY,0x101f6
40,𐇷,OX BACK,0x101f7
41,𐇸,FLUTE,0x101f8
42,𐇹,GRATER,0x101f9
43,𐇺,STRAINER,0x101fa
44,𐇻,SMALL AXE,0x101fb
45,𐇼,WAVY BAND,0x101fc
46,'𐇽,COMBINING STROKE,0x101fd
??,?,UNKNOWN,0x3f
